Rank,L,PA/G,PS/G,SRS,Team,W,W/L%,year
26,57,108.2,103.4,-4.92,Orlando Magic,25,0.305,2018
27,58,108.8,103.4,-5.3,Atlanta Hawks,24,0.293,2018
28,58,105.4,102.3,-2.7,Dallas Mavericks,24,0.293,2018
29,60,105.5,99.3,-5.81,Memphis Grizzlies,22,0.268,2018
30,61,113.3,103.9,-8.8,Phoenix Suns,21,0.256,2018
1,22,109.3,118.1,8.04,Milwaukee Bucks,60,0.732,2019
2,24,108.4,114.4,5.49,Toronto Raptors,58,0.707,2019
3,25,111.2,117.7,6.42,Golden State Warriors,57,0.695,2019
4,28,106.7,110.7,4.19,Denver Nuggets,54,0.659,2019
5,29,109.1,113.9,4.96,Houston Rockets,53,0.646,2019
6,29,110.5,114.7,4.43,Portland Trail Blazers,53,0.646,2019
7,31,112.5,115.2,2.25,Philadelphia 76ers,51,0.622,2019
8,32,106.5,111.7,5.28,Utah Jazz,50,0.61,2019
9,33,111.1,114.5,3.56,Oklahoma City Thunder,49,0.598,2019
10,33,108,112.4,3.9,Boston Celtics,49,0.598,2019
11,34,104.7,108,2.76,Indiana Pacers,48,0.585,2019
12,34,110,111.7,1.8,San Antonio Spurs,48,0.585,2019
13,34,114.3,115.1,1.09,Los Angeles Clippers,48,0.585,2019
14,40,112.3,112.3,-0.4,Brooklyn Nets,42,0.512,2019
15,40,106.6,107.3,0.28,Orlando Magic,42,0.512,2019
16,41,107.3,107,-0.56,Detroit Pistons,41,0.5,2019
17,43,106,105.7,-0.45,Miami Heat,39,0.476,2019
18,43,111.8,110.7,-1.32,Charlotte Hornets,39,0.476,2019
19,43,115.3,114.2,-0.81,Sacramento Kings,39,0.476,2019
20,45,113.5,111.8,-1.33,Los Angeles Lakers,37,0.451,2019
21,46,114,112.5,-1.02,Minnesota Timberwolves,36,0.439,2019
22,49,110.1,108.9,-0.87,Dallas Mavericks,33,0.402,2019
23,49,116.8,115.4,-1.1,New Orleans Pelicans,33,0.402,2019
24,49,106.1,103.5,-2.08,Memphis Grizzlies,33,0.402,2019
25,50,116.9,114,-3.3,Washington Wizards,32,0.39,2019
26,53,119.4,113.3,-6.06,Atlanta Hawks,29,0.354,2019
27,60,113.4,104.9,-8.32,Chicago Bulls,22,0.268,2019
28,63,114.1,104.5,-9.39,Cleveland Cavaliers,19,0.232,2019
29,63,116.8,107.5,-8.61,Phoenix Suns,19,0.232,2019
30,65,113.8,104.6,-8.93,New York Knicks,17,0.207,2019
